iter	RMSE
262	1.198706843
263	1.191902287
264	1.184859322
265	1.178641888
266	1.170807545
267	1.164029696
268	1.157069758
269	1.150945558
270	1.144798107
271	1.137142804
272	1.130912127
273	1.124596086
274	1.118364838
275	1.112502809
276	1.105351533
277	1.100256884
278	1.093911631
279	1.088209735
280	1.082225638
281	1.076576115
282	1.070597918
283	1.065545618
284	1.059224593
285	1.053433574
286	1.047597025
287	1.041416112
288	1.036755218
289	1.031202387
290	1.025387298
291	1.020636574
292	1.016338962
293	1.010893536
294	1.005352576
295	1.000285757
296	0.9942893003
297	0.989736442
298	0.9848649644
299	0.9796809143
300	0.9745363214
301	0.969364429
302	0.9637405808
303	0.959021157
304	0.9545675759
305	0.9499371703
306	0.9456750499
307	0.9403869313
308	0.9356865277
309	0.9314492603
310	0.9275433025
311	0.9233138222
312	0.9181377991
313	0.9139862466
314	0.9091968173
315	0.9046321978
316	0.9002968695
317	0.8957812003
318	0.8920286734
319	0.8875126801
320	0.8838996982
321	0.8800537226
322	0.8761093515
323	0.8716961498
324	0.8684728636
325	0.8644746174
326	0.8613611268
327	0.8570845857
328	0.8532047158
329	0.8493685549
330	0.8461141288
331	0.8426680484
332	0.8396056644
333	0.8364595198
334	0.8331412197
335	0.8299639246
336	0.8250090567
337	0.820060478
338	0.8169380499
339	0.8113223569
340	0.8079581674
341	0.8033908134
342	0.7995882807
343	0.7961990206
344	0.7925260759
345	0.789621787
346	0.7863701555
347	0.7830199297
348	0.7801227139
349	0.7775468754
350	0.77325746
351	0.7696190656
352	0.7659480192
353	0.762331682
354	0.7579898672
355	0.7547707957
356	0.7512619442
357	0.7466523855
358	0.7437854285
359	0.741162093
360	0.7375249998
361	0.7348305041
362	0.7316544274
363	0.7283434527
364	0.7256439983
365	0.7231260181
366	0.7207885469
367	0.7168821358
368	0.7140257253
369	0.7111243048
370	0.7083142784
371	0.704890682
372	0.7018319982
373	0.6994140227
374	0.6958827993
375	0.6933642381
376	0.6909758818
377	0.6886997532
378	0.6861805888
379	0.6837017392
380	0.6814467549
381	0.6779809997
382	0.6760842668
383	0.6732881335
384	0.6710266366
385	0.6690150039
386	0.6665771773
387	0.6625268427
388	0.660581312
389	0.6582573154
390	0.6556958364
391	0.651897569
392	0.6496833607
393	0.64695333
394	0.6448414709
395	0.6427876054
396	0.6403926922
397	0.6380260267
398	0.6350683829
399	0.632637726
400	0.6308283201
401	0.6291466082
402	0.6269890854
403	0.6246456247
404	0.6222881903
405	0.6202313051
406	0.6177494175
407	0.6156492902
408	0.6141009189
409	0.6121526805
410	0.6101394713
411	0.6081548878
412	0.6061768621
413	0.6045066107
414	0.6014282195
415	0.5992636045
416	0.5973097493
417	0.5957763991
418	0.593614405
419	0.5916051664
420	0.5904206554
421	0.5880763544
422	0.5864269205
423	0.5836549691
424	0.5818213985
425	0.5802272025
426	0.5786051986
427	0.5766424177
428	0.5749913666
429	0.5729299028
430	0.5712926305
431	0.5685182347
432	0.5662768441
433	0.5642205687
434	0.562034051
435	0.5598854357
436	0.5574451338
437	0.5559619422
438	0.554218998
439	0.5522823269
440	0.5506315997
441	0.5492806165
442	0.5468428166
443	0.5450301009
444	0.5431345179
445	0.5414032605
446	0.5392710614
447	0.5380452821
448	0.5366633057
449	0.53526987
450	0.5338802392
451	0.5320839424
452	0.5294336308
453	0.527594491
454	0.5257480033
455	0.5246114171
456	0.5229615408
457	0.5210559211
458	0.5198353433
459	0.5178696904
460	0.5162415845
461	0.5152741703
462	0.5140305684
463	0.5124848663
464	0.5109231576
465	0.5096454059
466	0.5079746008
467	0.5065619942
468	0.5048203373
469	0.5031573079
470	0.501670832
471	0.4993969402
472	0.4974168799
473	0.4948331521
474	0.4933879377
475	0.4916736281
476	0.4900791572
477	0.4880375042
478	0.4865128628
479	0.484547672
480	0.4834150905
481	0.4819266441
482	0.4799684404
483	0.4787990414
484	0.4770767226
485	0.4755229766
486	0.4740095
487	0.4724398942
488	0.4709949976
489	0.4689083377
490	0.4677048994
491	0.4659724214
492	0.4641779263
493	0.4619103874
494	0.460706358
495	0.4589210274
496	0.4572319893
497	0.4562341041
498	0.4542372992
499	0.452812891
500	0.4508911702
501	0.4494965338
502	0.4477700109
503	0.446462621
504	0.4449594309
505	0.4435814997
506	0.4423186268
507	0.4401490904
508	0.4388638724
509	0.437290834
510	0.43617367
511	0.4345827219
512	0.4331183438
513	0.4316700637
514	0.4305415306
515	0.4290768875
516	0.4280857691
517	0.4260413638
518	0.4243335616
519	0.4231380939
520	0.4219602135
521	0.4201780392
522	0.4188424735
523	0.4168917339
524	0.415906763
525	0.4146572429
526	0.4136054401
527	0.4118956312
528	0.4105950383
529	0.4088899496
530	0.4073325616
531	0.4062642893
532	0.4051376676
533	0.404271731
534	0.4031500028
535	0.4023150155
536	0.4013002467
537	0.4000735682
538	0.3983622996
539	0.3974785695
540	0.3961783064
541	0.3944794811
542	0.3931965104
543	0.3918495175
544	0.390752746
545	0.3897901641
546	0.388508596
547	0.3878235606
548	0.386901197
549	0.3853810724
550	0.3844855908
551	0.3830516439
552	0.3813796738
553	0.3799512721
554	0.379042026
555	0.3780595203
556	0.3773448932
557	0.3758654074
558	0.3748239709
559	0.3739759251
560	0.373179638
561	0.3722566683
562	0.3710206816
563	0.3700133746
564	0.3684528022
565	0.3674931506
566	0.366578061
567	0.3654204074
568	0.3644645377
569	0.3639534494
570	0.3626933603
571	0.3616701506
572	0.3605976175
573	0.3598866736
574	0.3590775016
575	0.358520279
576	0.3569651745
577	0.3559576489
578	0.354772534
579	0.353861489
580	0.3529311239
581	0.3514589173
582	0.3501558584
583	0.3492041308
584	0.3481158191
585	0.3474702719
586	0.3460694561
587	0.3451962194
588	0.3439166125
589	0.3431169679
590	0.3419898079
591	0.3410294561
592	0.3403357027
593	0.339291376
594	0.3384422168
595	0.3378117831
596	0.3369612067
597	0.3355179718
598	0.3342750126
599	0.3333097118
600	0.3321398389
601	0.3312453315
602	0.3303338119
603	0.3293392114
604	0.3280931908
605	0.3270385388
606	0.3264441589
607	0.3259696418
608	0.3246040708
609	0.3232709397
610	0.3226200009
611	0.3222311246
612	0.3211169926
613	0.3198126008
614	0.3189028989
615	0.3181927775
616	0.316896025
617	0.3161623722
618	0.3153579692
619	0.3143199335
620	0.3133652078
621	0.3127884071
622	0.3118914179
623	0.3111253339
624	0.3104614136
625	0.3097139997
626	0.3088392339
627	0.3079645135
628	0.3072815922
629	0.3066144828
630	0.3055438257
631	0.3048802459
632	0.3044459457
633	0.3035948229
634	0.3028413739
635	0.3018240751
636	0.300772897
637	0.2999720359
638	0.2994712208
639	0.2985348747
640	0.2981201749
641	0.2977054921
642	0.2973257679
643	0.2970742763
644	0.2961145763
645	0.2952495221
646	0.2943840867
647	0.2939546073
648	0.2933127367
649	0.2925842105
650	0.2915944184
651	0.2906965537
652	0.2896875455
653	0.2889362512
654	0.2879814454
655	0.2869922746
656	0.2862789554
657	0.2855364375
658	0.285222743
659	0.2844886585
660	0.2837407647
661	0.2827081926
662	0.2821548239
663	0.2813041801
664	0.2804814808
665	0.2801293558
666	0.2790767774
667	0.2782433706
668	0.27741311
669	0.2763321008
670	0.2755556269
671	0.2746092845
672	0.2737239419
673	0.2729226296
674	0.2718108736
675	0.2715615043
676	0.2708061295
677	0.2700890552
678	0.2697369391
679	0.2688154271
680	0.268425405
681	0.2674013385
682	0.266602982
683	0.265634106
684	0.2650091927
685	0.2640385303
686	0.2634242775
687	0.2622823215
688	0.2614444603
689	0.2610913828
690	0.2608142056
691	0.2599529178
692	0.2592223665
693	0.2585431367
694	0.2579733692
695	0.2575886072
696	0.256650432
697	0.2563020963
698	0.2554686948
699	0.2543748184
700	0.2536456732
701	0.2527822945
702	0.2524481013
703	0.2516744798
704	0.2512190854
705	0.2508550703
706	0.249984716
707	0.2496037522
708	0.2491029326
709	0.249014908
710	0.2485279019
711	0.2478405837
712	0.2471804245
713	0.2466414146
714	0.2458511538
715	0.2450377921
716	0.2443231858
717	0.2434746149
718	0.2430912223
719	0.242320556
720	0.2418558409
721	0.2414189962
722	0.2407127412
723	0.2401374995
724	0.2392259089
725	0.238254594
726	0.2381478999
727	0.2374231033
728	0.2373099482
729	0.2363453899
730	0.2358659915
731	0.2354844628
732	0.2349261534
733	0.2341293555
734	0.2337048284
735	0.2328906045
736	0.2323029031
737	0.2313450684
738	0.2309798957
739	0.2302516254
740	0.2295666088
741	0.2287687707
742	0.2282353694
743	0.2278903327
744	0.2278483674
745	0.2272023045
746	0.2268026386
747	0.2266584636
748	0.2255427833
749	0.2253487149
750	0.2252572157
751	0.2244241434
752	0.2235745667
753	0.2229760062
754	0.2229073865
755	0.2227850243
756	0.2223807098
757	0.2216033448
758	0.2209520247
759	0.2206148764
760	0.220018374
761	0.2196748365
762	0.2190031421
763	0.2185069607
764	0.2177443279
765	0.2173008612
766	0.2167266872
767	0.2160585798
768	0.2153411741
769	0.2147090519
770	0.214005076
771	0.2133038985
772	0.2125505916
773	0.2121450396
774	0.2117985815
775	0.2113275725
776	0.2106076732
777	0.2100268718
778	0.2092480511
779	0.2086862767
780	0.2083610684
781	0.2077071676
782	0.2070352085
783	0.2067293072
784	0.2060682051
785	0.2054147414
786	0.20483869
787	0.2042362561
788	0.2036080227
789	0.203185954
790	0.2026108998
791	0.202230277
792	0.2016165686
793	0.2012138605
794	0.2011640605
795	0.2006055911
796	0.199932079
797	0.19988286
798	0.1994472425
799	0.1988444787
800	0.1983515555
801	0.1978500136
802	0.1971753224
803	0.1963994899
804	0.1956407956
805	0.1951862747
806	0.1951283676
807	0.1944152196
808	0.1937565556
809	0.1931656909
810	0.1925375901
811	0.1921789522
812	0.1916423526
813	0.1913079952
814	0.1907260837
815	0.1904508126
816	0.1900798342
817	0.189479424
818	0.1891247569
819	0.1889003414
820	0.1884286155
821	0.1880964369
822	0.1877112371
823	0.1872136092
824	0.1865829987
825	0.1862701827
826	0.1858081654
827	0.1851044584
828	0.1846019914
829	0.1841005987
830	0.1835419627
831	0.1832352851
832	0.1829006293
833	0.1825025609
834	0.1823780429
835	0.1823440525
836	0.1817882885
837	0.1813186071
838	0.1809473353
839	0.1803543424
840	0.1800677901
841	0.1794830483
842	0.179131265
843	0.1786554661
844	0.1780737692
845	0.1780347539
846	0.1778621273
847	0.1771719241
848	0.1768303205
849	0.1764185548
850	0.1761240073
851	0.1758829738
852	0.1753401576
853	0.1752034868
854	0.1746508997
855	0.1743138835
856	0.1739815428
857	0.1733399332
858	0.1728795498
859	0.1722134171
860	0.1718981531
861	0.1714001141
862	0.171213871
863	0.1708576232
864	0.1702388154
865	0.1699051695
866	0.1697929198
867	0.1697220766
868	0.1691096731
869	0.1688059854
870	0.168287979
871	0.1682675599
872	0.1678959851
873	0.1676571897
874	0.1672842363
875	0.1667879076
876	0.1663911137
877	0.1659767677
878	0.1657728633
879	0.1656426667
880	0.1654996275
881	0.1650426259
882	0.1645171743
883	0.1644004172
884	0.163827898
885	0.1633739073
886	0.1630522599
887	0.1623693726
888	0.1617319038
889	0.1611840648
890	0.1607714094
891	0.1602916162
892	0.1598210747
893	0.1593649648
894	0.1592386596
895	0.1587334906
896	0.1583416198
897	0.1579791684
898	0.157715537
899	0.1571746976
900	0.1566240819
901	0.1561101294
902	0.1559738456
903	0.1556172684
904	0.1553450525
905	0.1548450385
906	0.1543384202
907	0.1540597487
908	0.1538594817
909	0.1534753887
910	0.1529862675
911	0.1523755859
912	0.1518820348
913	0.1515633772
914	0.1515413599
915	0.1509909121
916	0.1507857875
917	0.1503013545
918	0.1499674616
919	0.1495721671
920	0.1492279921
921	0.1488420553
922	0.1484368534
923	0.1481838383
924	0.1476386751
925	0.1476186145
926	0.1475712152
927	0.1471865879
928	0.1467534282
929	0.1463599333
930	0.1459386737
931	0.1455382123
932	0.1451621276
933	0.1446704333
934	0.1443948303
935	0.1440355153
936	0.1438417192
937	0.1433153263
938	0.1429697345
939	0.1427632769
940	0.1425771447
941	0.1425445429
942	0.1419137236
943	0.141470489
944	0.1409434341
945	0.1406174322
946	0.1402866832
947	0.1400135953
948	0.1398848544
949	0.1394681433
950	0.1390987003
951	0.1387200737
952	0.1382898208
953	0.1380979397
954	0.1375532305
955	0.1371917932
956	0.1367474347
957	0.1364744628
958	0.1360197477
959	0.1356191629
960	0.1351598968
961	0.1349036086
962	0.1346061595
963	0.1342047773
964	0.1339710444
965	0.1337161142
966	0.1336217053
967	0.1331466886
968	0.1326173126
969	0.1326005394
970	0.1321981993
971	0.1320481459
972	0.1316684506
973	0.1312025987
974	0.1309734672
975	0.1306506534
976	0.1302349578
977	0.1301133116
978	0.129781419
979	0.1295186664
980	0.129207621
981	0.1287842756
982	0.12849535
983	0.1282676686
984	0.1282523991
985	0.1279679814
986	0.1275534952
987	0.1269879699
988	0.1266873872
989	0.1264647181
990	0.1260801209
991	0.1257471175
992	0.1252209505
993	0.1248607467
994	0.1244126792
995	0.1242078285
996	0.1240145872
997	0.123713935
998	0.1234466533
999	0.1229977357
